"Date","Time","Receipt Number","Amount","Regular Discount","Senior Citizen Discount","PWD Discount","Service","VATable Sales","VAT","VAT-Exempt Sales","Zero-Rated Sales","Amount Due"
"1 Jul 2025","1023am",12784,230,0,0,0,0,205.36,24.64,0,0,230
"1 Jul 2025","1041am",12785,490,0,0,0,0,437.5,52.5,0,0,490
"1 Jul 2025","1107am",12786,460,0,0,0,0,410.71,49.29,0,0,460
"1 Jul 2025","1114am",12787,430,0,0,0,0,383.93,46.07,0,0,430
"1 Jul 2025","1135am",12788,290,0,0,0,0,258.93,31.07,0,0,290
"1 Jul 2025","1137am",12789,290,0,0,0,0,258.93,31.07,0,0,290
"1 Jul 2025","1138am",12790,270,0,0,0,0,241.07,28.93,0,0,270
"1 Jul 2025","1139am",12791,290,0,0,0,0,258.93,31.07,0,0,290
"1 Jul 2025","1155am",12792,300,0,0,0,0,267.86,32.14,0,0,300
"1 Jul 2025","1157am",12793,1040,0,0,0,0,928.57,111.43,0,0,1040
"1 Jul 2025","1214pm",12794,200,0,0,0,0,178.57,21.43,0,0,200
"1 Jul 2025","1218pm",12795,240,0,0,0,0,214.29,25.71,0,0,240
"1 Jul 2025","1222pm",12796,460,0,0,0,0,410.71,49.29,0,0,460
"1 Jul 2025","1224pm",12797,240,0,0,42.86,0,0,0,171.43,0,171.43
"1 Jul 2025","1226pm",12798,240,0,0,0,0,214.29,25.71,0,0,240
"1 Jul 2025","1227pm",12799,180,0,0,0,0,160.71,19.29,0,0,180
"1 Jul 2025","1231pm",12800,160,0,0,28.57,0,0,0,114.29,0,114.29
"1 Jul 2025","1233pm",12801,400,0,0,0,0,357.14,42.86,0,0,400
"1 Jul 2025","1233pm",12802,140,0,0,0,0,125,15,0,0,140
"1 Jul 2025","1239pm",12803,250,0,0,35.71,0,44.64,5.36,142.86,0,192.86
"1 Jul 2025","1245pm",12804,200,0,0,0,0,178.57,21.43,0,0,200
"1 Jul 2025","1250pm",12805,180,0,0,0,0,160.71,19.29,0,0,180
"1 Jul 2025","1253pm",12806,910,0,0,35.71,0,633.93,76.07,142.86,0,852.86
