Date,Item,Supplier,Amount,Paid Via,Category,Purchasee,Full Amount,TIN,Invoice No.,Address
"September 23, 2025",,"Kmakatimart whipping cream, mascarpone",₱4275.00,Non-Cash,Supplies,Store,,,,
"September 23, 2025",,Lalamove fee warabimochi,₱178.00,Cash,Delivery,Store,,,,
"September 22, 2025",Lalamove,Delivery,₱150.00,Cash,Supplies,Store,,,,
"September 22, 2025",,R&BTube Ice,₱225.00,Cash,Supplies,Store,,,,
"September 22, 2025",Supermarket,Grocery,₱1023.00,Cash,Supplies,Store,,,,
"September 21, 2025",,Sn R whipped cream and white sugar,₱2718.45,Non-Cash,Supplies,Store,,,,
"September 21, 2025",,Fruitas coconut water 1L,₱170.00,Cash,Supplies,Store,,,,
"September 21, 2025",,Lalamove fee warabi mochi,₱150.00,Cash,Delivery,Store,,,,
"September 21, 2025",,Ivoryway ice,₱225.00,Cash,Supplies,Store,,,,
"September 20, 2025",,Tx concept group inc. paperbag small,₱440.00,Non-Cash,Supplies,Store,,,,
"September 20, 2025",,Ivoryway ice,₱135.00,Cash,Supplies,Store,,,,
"September 19, 2025",,Lalamove fee cookies,₱120.00,Cash,Delivery,Store,,,,
"September 19, 2025",,Lalamove grab food error,₱83.00,Cash,Delivery,Store,,,,
"September 19, 2025",,Food Alley Banana,₱99.00,Cash,Supplies,Store,,,,
"September 19, 2025",,"S&R whipped cream, white sugar, trash bags",₱3702.30,Non-Cash,Supplies,Store,,,,
"September 19, 2025",,Ivoryway ice,₱180.00,Cash,Supplies,Store,,,,
"September 19, 2025",,"Sm Everwhip, Egg medium",₱572.75,Cash,Supplies,Store,,,,
"September 19, 2025",,"Bakers choice, dairy oat",₱6470.00,Non-Cash,Supplies,Store,,,,
"September 19, 2025",,Fruitas coconut water 1L,₱170.00,Cash,Supplies,Store,,,,
"September 19, 2025",,Lalamove fee cups and lids,₱150.00,Cash,Delivery,Store,,,,
"September 19, 2025",,Lalamove fee dairy and oatmilk,₱411.00,Cash,Delivery,Store,,,,
"September 18, 2025",Marscapone,Kmakati Mart,₱4725.00,Non-Cash,Supplies,Store,,,,
"September 18, 2025",,Plainsight 2L coffee beans,₱3136.00,Non-Cash,Supplies,Store,,,,
"September 18, 2025",,Lalamove Icecream,₱148.00,Cash,Delivery,Store,,,,
"September 18, 2025",,Lalamove Warabimochi,₱135.00,Cash,Delivery,Store,,,,
"September 17, 2025",,Bakers choice white chocolate sauce,₱890.00,Non-Cash,Supplies,Store,,,,
"September 17, 2025",,Fruitas Coconut Water,₱85.00,Cash,Supplies,Store,,,,
"September 17, 2025",,Food Alley Banana,₱190.00,Cash,Supplies,Store,,,,
"September 17, 2025",,Lalamove fee white chocolate sauce,₱200.00,Cash,Delivery,Store,,,,
"September 17, 2025",,Lalamove fee cups and lids,₱155.00,Cash,Delivery,Store,,,,
"September 17, 2025",,Ivoryway ice,₱335.00,Cash,Supplies,Store,,,,
"September 17, 2025",,"Haig and Leg Coffee Straw 6mm, Cupholder 2's",₱1626.00,Non-Cash,Supplies,Store,,,,
"September 16, 2025",,Ice,₱112.00,Cash,Supplies,Store,,,,
"September 16, 2025",lalamove,Warabi,₱176.00,Cash,Supplies,Store,,,,
"September 15, 2025",,Bakers choice dairy milk,₱4710.00,Non-Cash,Supplies,Store,,,,
"September 15, 2025",,Lalamove fee cookies,₱150.00,Cash,Delivery,Store,,,,
"September 15, 2025",,Ivoryway ice,₱337.50,Cash,Supplies,Store,,,,
"September 15, 2025",,Lalamove Fee Oat And dairy,₱411.00,Cash,Delivery,Store,,,,
"September 14, 2025",,"S&R Whipped Cream, White Sugar.",₱3117.45,Non-Cash,Supplies,Store,,,,
"September 14, 2025",,Ivoryway ice,₱225.00,Cash,Supplies,Store,,,,
"September 14, 2025",,Lalamove Warabimochi,₱190.00,Cash,Delivery,Store,,,,
"September 14, 2025",,Fruitas Cocnut Water,₱170.00,Cash,Supplies,Store,,,,
"September 13, 2025",,Ice,₱112.50,Cash,Supplies,Store,,,,
"September 13, 2025",tape-stpl,Nbs,₱180.00,Cash,Supplies,Store,,,,
"September 12, 2025",,Bakers choice dairy and oatmilk,₱6450.00,Non-Cash,Supplies,Store,,,,
