Corporation: MATCHANESE INC                 Period Covered: Last 30 Days
Account Number: 000251640035          Account Name: MATCHANESE INC
Account Alias:                      Currency: PHP
Posting Date,Branch,Description,Debit,Credit,Running Balance,Check Number
02/06/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 3534828871,15000.00,,208072.80,000000000
02/06/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02062607AAAEEPU MERCHANT SETTLEMENT,,2837.49,210910.29,000000000
02/09/2026,RETAIL INTERNET BANKING,FT SA-SA DIGIFI POB DBFT 026038588020,,799.00,211709.29,000000000
02/09/2026,RETAIL INTERNET BANKING,FT SA-SA DIGIFI POB DBFT 026040049088,,5900.00,217609.29,000000000
02/09/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_P4x:Ph88l,,1041.01,218650.30,000000000
02/09/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 0134860888,50000.00,,168650.30,000000000
02/09/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_soZgOTmmA,,338.61,168988.91,000000000
02/09/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02092606AAADYJM MERCHANT SETTLEMENT,,14709.85,183698.76,000000000
02/10/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_PkHA8Lmmq,,980.90,184679.66,000000000
02/10/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_HzphcLmeb,,947.54,185627.20,000000000
02/10/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02102622AAAEIRR MERCHANT SETTLEMENT,,4161.93,189789.13,000000000
02/10/2026,RETAIL INTERNET BANKING,FT SA-SA DIGIFI POB DBFT 026041794150,,2950.00,192739.13,000000000
02/11/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_v2y26Om8A,,958.40,193697.53,000000000
02/11/2026,RETAIL INTERNET BANKING,FT SA-SA DIGIFI POB DBFT 026042112388,,1850.00,195547.53,000000000
02/11/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 4634898251,15000.00,,180547.53,000000000
02/11/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02112625AAAEFSC MERCHANT SETTLEMENT,,3135.90,183683.43,000000000
02/11/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_f:GdiLqMC,,2831.64,186515.07,000000000
02/11/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 5234902569,40000.00,,146515.07,000000000
02/11/2026,SM CITY NORTH EDSA A,00025 CD,,49613.00,196128.07,000000000
02/12/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_ezCYfVFFD,,1157.17,197285.24,000000000
02/12/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_021226B2AAAEMDX MERCHANT SETTLEMENT,,2799.08,200084.32,000000000
02/12/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_LRxS3SqqC,,566.78,200651.10,000000000
02/13/2026,TBG-BUSINESS ONLINE BANKING,ONLINE TRANSFER BOB TO 661682455 Reference # 3534932557,60000.00,,140651.10,000000000
02/13/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_c0SlhUMMC,,2070.94,142722.04,000000000
02/13/2026,RECON,PESONet_from_00000000722019634 UBPHPHMM_02132606AAAERSN MERCHANT SETTLEMENT,,5432.69,148154.73,000000000
02/16/2026,RECON,PESONet_from_01863668577424386 GHPESGSG_6sUSTQFFK,,408.75,148563.48,000000000
02/16/2026,RECON,PESONet_from_02208470884167691 GHPESGSG_amNwmKmPA,,1921.47,150484.95,000000000
