Date,Supplier Name,Business Name,TIN,Address,Invoice Number,Items,Category,Total Amount,VAT Exempt Amount,VATable Sale,VAT Amount,VAT Registered,Branch,Payment Method,Paid By,Notes,Created At,Updated At
2025-03-01,Robinsons Supermarket Corporation,Robinsons Supermarket Corporation,000-405-340-00351,LG/F IL Terrazzo Tomas Morato cor Sct Madrinan South Triangle 1103 Quezon City,,Oatside (1x ₱820.52),General,820.52,,732.61,87.91,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.411Z,
2025-03-01,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Emborg Whipping Cream (1x ₱812),General,812,,725,87,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.412Z,
2025-03-02,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱225),General,225,,200.89,24.11,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.413Z,
2025-03-01,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱180),General,180,,160.71,19.29,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.413Z,
2025-03-02,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱1256),General,1256,,1,134.57,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.414Z,
2025-03-02,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Emborg Whipping Cream (1x ₱455.5); Table napkin (1x ₱455.5),General,911,,813.39,97.61,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.414Z,
2025-03-03,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱135),General,135,,120.54,14.46,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.414Z,
2025-03-05,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱1214.5),General,1214.5,,1,130.13,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.415Z,
2025-03-04,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱90),General,90,,80.36,9.64,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.415Z,
2025-03-06,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,SM Distilled Water (1x ₱160),General,160,,142.86,17.14,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.416Z,
2025-03-06,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱135),General,135,,120.54,14.46,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.416Z,
2025-03-05,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱135),General,135,,120.54,14.46,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.416Z,
2025-03-06,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱157.5),General,157.5,,140.63,16.88,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.417Z,
2025-03-07,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱1267.25),General,1267.25,,1,135.78,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.417Z,
2025-03-08,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Emborg Whipping Cream (1x ₱812),General,812,,725,87,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.417Z,
2025-03-09,Phil. Jacobe Ventures Inc.,Phil. Jacobe Ventures Inc.,276-946-023-00003,CT 116(B) Mega B Bldg Vargas Cor EDSA SM Megamall Wack-Wack Greenhills Mandaluyong City,,Banana Pudding (1x ₱1230),General,1230,,1,131.79,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.418Z,
2025-03-08,For the Love of Food Inc.,For the Love of Food Inc.,600-238-381-00000,Ortigas Center Mandaluyong 1550,,Golden Ticket (1x ₱1750),General,1750,,1,187.5,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.418Z,
2025-03-09,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱225),General,225,,200.89,24.11,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.418Z,
2025-03-08,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱180),General,180,,160.71,19.29,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.418Z,
2025-03-10,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Emborg Whipping Cream (1x ₱251.875); Table napkin (1x ₱251.875),General,503.75,,449.78,53.97,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.419Z,
2025-03-10,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱112.5),General,112.5,,100.45,12.05,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.419Z,
2025-03-10,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱846),General,846,,755.36,90.64,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.419Z,
2025-03-11,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱90),General,90,,80.36,9.64,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.420Z,
2025-03-11,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱814),General,814,,726.79,87.21,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.420Z,
2025-03-12,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Emborg Whipping Cream (1x ₱406),General,406,,362.5,43.5,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.420Z,
2025-03-13,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱180),General,180,,160.71,19.29,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.421Z,
2025-03-12,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱135),General,135,,120.54,14.46,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.421Z,
2025-03-13,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱355.5),General,355.5,,317.41,38.09,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.421Z,
2025-03-14,"Super Shopping Market, Inc.","Super Shopping Market, Inc.",209-609-185-00008,"SM City North Edsa Cor North Ave, Quezon City",,Various Consumable Goods (1x ₱595),General,595,,531.25,63.75,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.422Z,
2025-03-14,Ivoryway Company Inc.,Ivoryway Company Inc.,203-802-940-00000,"42 Sct Bayoran South Triangle 1103 Quezon City NCR, Second District Philippines",,TUBE ICE (1x ₱135),General,135,,120.54,14.46,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.422Z,
2025-03-13,Abacus Book and Card Corp.,Abacus Book and Card Corp.,000-299-299-00281,SM City North EDSA North Ave. Cor EDSA Santo Cristo Quezon City,,Staple Wire (1x ₱104),General,104,,92.86,11.14,Yes,SMNE,Cash,,Imported from accounting CSV,2025-06-27T04:56:56.422Z,
