"","Category","Item","Option","Price","Cost","Modifier","Unavailable Online Store","Description Online Store","VAT Exempt"
"1","01 MATCHA LATTES","SIGNATURE MATCHANESE LATTE","ICED","190","","1","false","","false"
"2","01 MATCHA LATTES","SIGNATURE MATCHANESE LATTE","HOT","190","","1","false","","false"
"3","01 MATCHA LATTES","SPANISH MATCHANESE LATTE","ICED","200","","1","false","","false"
"4","01 MATCHA LATTES","SPANISH MATCHANESE LATTE","HOT","200","","1","false","","false"
"5","01 MATCHA LATTES","MATCHANESE SEASALT LATTE","ICED","220","","1","false","","false"
"6","01 MATCHA LATTES","MATCHANESE SEASALT LATTE","HOT","220","","1","false","","false"
"7","01 MATCHA LATTES","SALTED CARAMEL MATCHANESE LATTE","ICED","220","","1","false","","false"
"8","01 MATCHA LATTES","SALTED CARAMEL MATCHANESE LATTE","HOT","220","","1","false","","false"
"9","01 MATCHA LATTES","WHITE CHOCOLATE MATCHANESE LATTE","ICED","230","","1","false","","false"
"10","01 MATCHA LATTES","WHITE CHOCOLATE MATCHANESE LATTE","HOT","230","","1","false","","false"
"11","01 MATCHA LATTES","STRAWBERRY MATCHANESE LATTE","ICED","230","","1","false","","false"
"12","01 MATCHA LATTES","STRAWBERRY MATCHANESE LATTE","HOT","230","","1","false","","false"
"13","02 MATCHA LITE","MATCHANESE TEA","ICED","170","","1","false","","false"
"14","02 MATCHA LITE","MATCHANESE TEA","HOT","170","","1","false","","false"
"15","02 MATCHA LITE","MATCHANESE COCONUT","ICED","180","","1","false","","false"
"16","02 MATCHA LITE","MATCHA AMARETTO","ICED","220","","","false","","false"
"17","02 MATCHA LITE","MATCHANESE DALANDAN","ICED","180","","1","false","","false"
"18","02 MATCHA LITE","UBE MATCHA MARTINI","ICED","250","","","false","","false"
"19","02 MATCHA LITE","PEACH MANGO SOJU","ICED","210","","","false","","false"
"20","02 MATCHA LITE","SPARKLING DALANDAN MATCHA","ICED","190","","","false","","false"
"21","03 BEYOND MATCHA","HOJICHA LATTE","ICED","160","","1","false","","false"
"22","03 BEYOND MATCHA","HOJICHA LATTE","HOT","160","","1","false","","false"
"23","03 BEYOND MATCHA","GENMAICHA LATTE","ICED","160","","1","false","","false"
"24","03 BEYOND MATCHA","GENMAICHA LATTE","HOT","160","","1","false","","false"
"25","03 BEYOND MATCHA","HOJICHA TEA","ICED","150","","1","false","","false"
"26","03 BEYOND MATCHA","HOJICHA TEA","HOT","150","","1","false","","false"
"27","03 BEYOND MATCHA","GENMAICHA TEA","ICED","150","","1","false","","false"
"28","03 BEYOND MATCHA","GENMAICHA TEA","HOT","150","","1","false","","false"
"29","04 MATCHA SPECIALS","MATCHANESE EINSPANNER","ICED","270","","1","false","","false"
"30","04 MATCHA SPECIALS","HOJICHA EINSPANNER","ICED","250","","1","false","","false"
"31","04 MATCHA SPECIALS","MATCHANESE CLOUD","ICED","250","","1","false","","false"
"32","04 MATCHA SPECIALS","HOJICHA CLOUD","ICED","230","","1","false","","false"
"33","04 MATCHA SPECIALS","BANANA PUDDING MATCHA LATTE 12oz","ICED","250","","1","false","","false"
"34","04 MATCHA SPECIALS","BANANA PUDDING MATCHA LATTE 16oz","ICED","270","","1","false","","false"
"35","04 MATCHA SPECIALS","MATCHA FLOAT","ICED","270","","1","false","","false"
"36","04 MATCHA SPECIALS","WARABI MATCHANESE LATTE","ICED","250","","1","false","","false"
"37","04 MATCHA SPECIALS","STRAWBERRY CREAM MATCHA","ICED","230","","1","false","","false"
"38","04 MATCHA SPECIALS","STRAWBERRY EINSPANNER","ICED","230","","1","false","","false"
"39","04 MATCHA SPECIALS","PEACH MANGO MATCHA LATTE","ICED","230","","1","false","","false"
"40","04 MATCHA SPECIALS","MATCHA BANOFFEE LATTE","ICED","270","","1","false","","false"
"41","04 MATCHA SPECIALS","MATCHA TIRAMISU LATTE","ICED","270","","1","false","","false"
"42","05 COFFEE","AMERICANO","ICED","140","","1","false","","false"
"43","05 COFFEE","AMERICANO","HOT","140","","1","false","","false"
"44","05 COFFEE","KYOTO LATTE","ICED","160","","1","false","","false"
"45","05 COFFEE","KYOTO LATTE","HOT","160","","1","false","","false"
"46","05 COFFEE","SPANISH LATTE","ICED","180","","1","false","","false"
"47","05 COFFEE","SPANISH LATTE","HOT","180","","1","false","","false"
"48","05 COFFEE","SEASALT LATTE","ICED","210","","1","false","","false"
"49","05 COFFEE","SEASALT LATTE","HOT","210","","1","false","","false"
"50","05 COFFEE","MATCHANESE ESPRESSO","ICED","240","","1","false","","false"
"51","05 COFFEE","MATCHANESE ESPRESSO","HOT","240","","1","false","","false"
"52","06 SPECIALTY MATCHA","AKI MATCHA - LATTE","ICED","190","","1","false","","false"
"53","06 SPECIALTY MATCHA","Yamamasa Koyamaen - Ogurayama","Usucha","255","","1","false","","false"
"54","06 SPECIALTY MATCHA","Yamamasa Koyamaen - Ogurayama","Classic Latte","295","","1","false","","false"
"55","06 SPECIALTY MATCHA","Yamamasa Koyamaen - Ogurayama","Cold Whisked","305","","1","false","","false"
"56","06 SPECIALTY MATCHA","Ippodo - Sayaka No Mukashi","Usucha","280","","1","false","","false"
"57","06 SPECIALTY MATCHA","Ippodo - Sayaka No Mukashi","Classic Latte","330","","1","false","","false"
"58","06 SPECIALTY MATCHA","Ippodo - Sayaka No Mukashi","Cold Whisked","340","","1","false","","false"
"59","06 SPECIALTY MATCHA","Ippodo - Seiun","Usucha","290","","1","false","","false"
"60","06 SPECIALTY MATCHA","Ippodo - Seiun","Classic Latte","340","","1","false","","false"
"61","06 SPECIALTY MATCHA","Ippodo - Seiun","Cold Whisked","350","","1","false","","false"
"62","06 SPECIALTY MATCHA","Ippodo - Ummon","Usucha","360","","1","false","","false"
"63","06 SPECIALTY MATCHA","Ippodo - Ummon","Classic Latte","410","","1","false","","false"
"64","06 SPECIALTY MATCHA","Ippodo - Ummon","Cold Whisked","420","","1","false","","false"
"65","06 SPECIALTY MATCHA","Marukyu Koyamaen - Aoarashi","Usucha","265","","1","false","","false"
"66","06 SPECIALTY MATCHA","Marukyu Koyamaen - Aoarashi","Classic Latte","315","","1","false","","false"
"67","06 SPECIALTY MATCHA","Marukyu Koyamaen - Aoarashi","Cold Whisked","325","","1","false","","false"
"68","06 SPECIALTY MATCHA","Marukyu Koyamaen - Isuzu","Usucha","280","","1","false","","false"
"69","06 SPECIALTY MATCHA","Marukyu Koyamaen - Isuzu","Classic Latte","325","","1","false","","false"
"70","06 SPECIALTY MATCHA","Marukyu Koyamaen - Isuzu","Cold Whisked","330","","1","false","","false"
"71","06 SPECIALTY MATCHA","Marukyu Koyamaen - Wako","Usucha","360","","1","false","","false"
"72","06 SPECIALTY MATCHA","Marukyu Koyamaen - Wako","Classic Latte","410","","1","false","","false"
"73","06 SPECIALTY MATCHA","Marukyu Koyamaen - Wako","Cold Whisked","420","","1","false","","false"
"74","06 SPECIALTY MATCHA","Yugen - 0","Usucha","240","","1","false","","false"
"75","06 SPECIALTY MATCHA","Yugen - 0","Classic Latte","290","","1","false","","false"
"76","06 SPECIALTY MATCHA","Yugen - 0","Cold Whisked","300","","1","false","","false"
"77","06 SPECIALTY MATCHA","Yugen - 1","Usucha","250","","1","false","","false"
"78","06 SPECIALTY MATCHA","Yugen - 1","Classic Latte","300","","1","false","","false"
"79","06 SPECIALTY MATCHA","Yugen - 1","Cold Whisked","310","","1","false","","false"
"80","06 SPECIALTY MATCHA","Rocky's Matcha - Shiranami Blend","Usucha","490","","1","false","","false"
"81","06 SPECIALTY MATCHA","Rocky's Matcha - Shiranami Blend","Classic Latte","540","","1","false","","false"
"82","06 SPECIALTY MATCHA","Rocky's Matcha - Shiranami Blend","Cold Whisked","550","","1","false","","false"
"83","06 SPECIALTY MATCHA","Rocky's Matcha - Okumidori","Usucha","500","","1","false","","false"
"84","06 SPECIALTY MATCHA","Rocky's Matcha - Okumidori","Classic Latte","590","","1","false","","false"
