"Date","Time","Name","Amount","Tag"
"Sep 23, 2025","1:42 pm","Kmakatimart whipping cream, mascarpone","4275.","Non-Cash"
"Sep 23, 2025","1:35 pm","Lalamove fee warabimochi","178","Cash"
"Sep 22, 2025","9:13 pm","Delivery_Lalamove_Cookies ","150","Cash"
"Sep 22, 2025","9:11 pm","R&BTubeIce_","225","Cash"
"Sep 22, 2025","9:11 pm","Grocery_Supermarket_Customer Tissue,Everwhip,Bunge,Eggs,Seasalt","1023","Cash"
"Sep 21, 2025","9:39 pm","SnR whipped cream and white sugar","2718.45","Non-Cash"
"Sep 21, 2025","6:32 pm","Fruitas coconut water 1L","170","Cash"
"Sep 21, 2025","2:49 pm","Lalamove fee warabi mochi ","150","Cash"
"Sep 21, 2025","2:48 pm","Ivoryway ice","225","Cash"
"Sep 20, 2025","6:59 pm","Tx concept group inc. paperbag small","440","Non-Cash"
"Sep 20, 2025","4:36 pm","Ivoryway ice","135","Cash"
"Sep 19, 2025","5:34 pm","Lalamove fee cookies ","120","Cash"
"Sep 19, 2025","4:34 pm","Lalamove grab food error","83","Cash"
"Sep 19, 2025","4:04 pm","Food Alley Banana ","99","Cash"
"Sep 19, 2025","4:04 pm","S&R whipped cream, white sugar, trash bags","3702.30","Non-Cash"
"Sep 19, 2025","4:03 pm","Ivoryway ice ","180","Cash"
"Sep 19, 2025","4:02 pm","Sm Everwhip, Egg medium","572.75","Cash"
"Sep 19, 2025","2:30 pm","Bakers choice, dairy oat","6470","Non-Cash"
"Sep 19, 2025","2:30 pm","Fruitas coconut water 1L","170","Cash"
"Sep 19, 2025","2:29 pm","Lalamove fee cups and lids","150","Cash"
"Sep 19, 2025","1:56 pm","Lalamove fee dairy and oatmilk","411","Cash"
"Sep 18, 2025","10:22 pm","KmakatiMart_Marscapone","4725","Non-Cash"
"Sep 18, 2025","10:21 pm","Plainsight 2L coffee beans ","3136","Non-Cash"
"Sep 18, 2025","10:02 pm","Lalamove Icecream","148","Cash"
"Sep 18, 2025","10:02 pm","Lalamove Warabimochi ","135","Cash"
"Sep 17, 2025","6:53 pm","Bakers choice  white chocolate sauce","890","Non-Cash"
"Sep 17, 2025","6:53 pm","Fruitas Coconut Water","85","Cash"
"Sep 17, 2025","6:44 pm","Food Alley Banana","190","Cash"
"Sep 17, 2025","6:05 pm","Lalamove fee white chocolate sauce","200","Cash"
"Sep 17, 2025","6:01 pm","Lalamove fee cups and lids","155","Cash"
"Sep 17, 2025","6:01 pm","Ivoryway ice","335","Cash"
"Sep 17, 2025","3:25 pm","Haig and Leg Coffee Straw 6mm, Cupholder 2's","1626","Non-Cash"
"Sep 16, 2025","7:07 pm","Ice","112","Cash"
"Sep 16, 2025","7:07 pm","Warabi_lalamove","176","Cash"
"Sep 15, 2025","3:08 pm","Bakers choice dairy milk ","4710","Non-Cash"
"Sep 15, 2025","3:04 pm","Lalamove fee cookies","150","Cash"
"Sep 15, 2025","3:04 pm","Ivoryway ice","337.5","Cash"
"Sep 15, 2025","2:41 pm","Lalamove Fee Oat And dairy","411","Cash"
"Sep 14, 2025","5:06 pm","S&R Whipped Cream, White Sugar. ","3117.45","Non-Cash"
"Sep 14, 2025","5:05 pm","Ivoryway ice","225","Cash"
"Sep 14, 2025","5:05 pm","Lalamove Warabimochi ","190","Cash"
"Sep 14, 2025","5:05 pm","Fruitas Cocnut Water","170","Cash"
"Sep 13, 2025","8:56 pm","Ice","112.5","Cash"
"Sep 13, 2025","8:56 pm","Nbs_tape-stpl","180","Cash"
"Sep 12, 2025","6:54 pm","Bakers choice dairy and oatmilk","6450","Non-Cash"
"Sep 12, 2025","6:54 pm","Irish Luck Inc 16oz cups and lids","4317.60","Non-Cash"
"Sep 12, 2025","6:52 pm","Food Alley Banana","110","Cash"
"Sep 12, 2025","6:50 pm","Plain Sight Coffee Beans ","3136","Non-Cash"
"Sep 12, 2025","6:49 pm","Ac Packaging online store ","360","Non-Cash"
"Sep 12, 2025","6:47 pm","AC packaging online store straw 6mm, 12mm","1160","Non-Cash"
"Sep 12, 2025","6:46 pm","Lalamove fee Cookies","150","Cash"
"Sep 12, 2025","2:57 pm","R&BTubeIce_","180","Cash"
"Sep 12, 2025","1:42 pm","Lalamove Dairymilk oat","620","Cash"
"Sep 12, 2025","12:47 pm","12oz cups (lalamove)","368","Cash"
"Sep 12, 2025","12:46 pm","Paper bag & Straws (lalamove)","140","Cash"
"Sep 11, 2025","9:08 pm","Watsons medicine kit","216.50","Cash"
"Sep 11, 2025","7:10 pm","Fruitas coocnut water","170","Cash"
"Sep 11, 2025","4:00 pm","Sm Supermarket Egg, White sugar,","828.25","Cash"
"Sep 11, 2025","2:41 pm","Lalamove fee warabi mochi ","176","Cash"
"Sep 11, 2025","2:40 pm","S&R Whipping Cream 6L ","2765.70","Non-Cash"
"Sep 10, 2025","9:35 pm","Banana","110","Cash"
"Sep 10, 2025","9:34 pm","Ivory_ice","225","Cash"
"Sep 10, 2025","9:34 pm","Watson_gloves","203","Cash"
"Sep 09, 2025","6:52 pm","Allegro Corp. Oatmilk, earlgrey","4150","Non-Cash"
"Sep 09, 2025","6:51 pm","Ivoryway ice","112.5","Cash"
"Sep 09, 2025","2:30 pm","Lalamove fee Warabimochi ","180","Cash"
"Sep 09, 2025","2:30 pm","Lalamove fee oatmilk, earlgrey","300","Cash"
"Sep 08, 2025","9:32 pm","Lalamove fee dairy milk ","329","Cash"
"Sep 08, 2025","9:32 pm","Lalamove fee cookies","150","Cash"
"Sep 08, 2025","3:29 pm","Builtamart mascarpone","1140","Non-Cash"
"Sep 08, 2025","2:22 pm","SnR  whipped cream, white sugar","3179.40","Non-Cash"
"Sep 08, 2025","2:20 pm","Ivoryway ice","337.5","Cash"
"Sep 08, 2025","2:20 pm","Marketplace dairy 10L","1215","Non-Cash"
"Sep 08, 2025","2:19 pm","Laciate Dairy 5 boxes ","4800","Non-Cash"
"Sep 07, 2025","8:59 pm","Lalamovefee_warabi","176","Cash"
"Sep 07, 2025","2:28 pm","R&BTubeIce_5","135","Cash"
"Sep 07, 2025","12:27 pm","Fruitas_ CoconutWater1000mL","160","Cash"
"Sep 06, 2025","5:57 pm","Lalamove fee ice cream tubs","312","Cash"
"Sep 06, 2025","5:05 pm","Ivoryway ice ","225","Cash"
"Sep 06, 2025","2:48 pm","Grab fee whipped cream","100","Cash"
"Sep 06, 2025","2:47 pm","SnR whipped cream","2765.70","Non-Cash"
"Sep 05, 2025","9:59 pm","Customer change","150","Cash"
"Sep 05, 2025","9:58 pm","Ivoryway ice","225","Cash"
"Sep 05, 2025","6:48 pm","Kamote","93","Cash"
"Sep 05, 2025","6:48 pm","Cookies lalamove ","150","Cash"
"Sep 05, 2025","6:48 pm","Lalamove fee 16oz lids","666","Cash"
"Sep 05, 2025","12:52 pm","Lalamove fee Oatside (5box) Nobo(3L)","296","Cash"
"Sep 04, 2025","8:24 pm","Lalamove fee Strawberry syrup","104","Cash"
"Sep 04, 2025","8:14 pm","Sm trash bags, warabi sauce container, medium eggs","951.50","Cash"
