Day,Total,Cash,Card,Grab,BankTransfer,Maya,QRPh,gcash,GiftCard,Expense
5 Oct 25,47062.84,11449.28,17691.13,8350,,,9572.43,,0,1095
4 Oct 25,45379.99,12047.14,20270.71,5620,,,7442.14,,0,90
3 Oct 25,39155.71,11842.85,14012.86,6180,,,7120,,0,1137
2 Oct 25,34958.56,5879.99,7198.57,10280,,,11600,,0,7041
1 Oct 25,24199.99,4654.28,7417.14,4320,,,7298.57,,510,5610.95
30 Sep 25,32959.57,7730,5748.86,11140,,,7290.71,,1050,1638.5
29 Sep 25,24847.14,6040,5217.14,7800,,,5100,,690,375
28 Sep 25,36750.01,8776.43,14193.58,6220,,,7560,,0,2853.75
27 Sep 25,38090.71,9347.14,16812.14,4660,,,7271.43,,0,2666.4
26 Sep 25,16276.43,4715.71,5639.29,3080,,,2841.43,,0,2756
25 Sep 25,23862.13,6307.13,7495,4010,,,6050,,0,23530.01
24 Sep 25,26160.42,5510.71,8776.85,6950,,,4562.86,,360,2462.25
23 Sep 25,19772.85,7334.28,4510,2300,,,5328.57,,300,4706
22 Sep 25,16769.28,3512.14,5600,4390,,,2827.14,,440,1398
21 Sep 25,33701.42,8579.99,11966.43,4720,,,8435,,0,3263.45
20 Sep 25,34918.58,11367.86,12470.01,5400,,,5680.71,,0,575
19 Sep 25,42876.42,11078.57,19056.42,6480,,,6081.43,,180,11958.05
18 Sep 25,23085.71,5397.14,7592.86,4860,,,5235.71,,0,8144
17 Sep 25,26251.42,5494.28,9257.14,8130,,,3190,,180,3481
16 Sep 25,27130.01,6451.43,6732.86,7408.57,,,6177.15,,360,288
15 Sep 25,20452.86,3550,4741.43,8500,,,3661.43,,0,5608.5
14 Sep 25,31744.29,9057.14,10955.72,5680,,,6051.43,,0,3702.45
13 Sep 25,37189.85,8993.28,12337.14,7550,,,8309.43,,0,292.5
12 Sep 25,27161.43,7731.43,10681.43,2820,,,5928.57,,0,16991.6
11 Sep 25,27307.14,4212.85,9642.86,7260,,,5381.43,,810,4156.45
10 Sep 25,31208.28,4960,10217.14,10190,,,5661.14,,180,538
9 Sep 25,21551.6,4895.71,4912.86,7430,,,4313.03,,0,4742.5
8 Sep 25,17837.14,2410,5060,6110,,,4257.14,,0,11150.9
7 Sep 25,42083.15,9147.14,16135.72,8570,,,7990.29,,0,471
6 Sep 25,25770,8280,9761.43,670,,,6908.57,,150,3402.7
5 Sep 25,31245.72,4477.14,11747.15,8370,,,6051.43,,600,1580
4 Sep 25,29805.72,7132.86,9702.86,5750,,,7060,,160,11209.2
3 Sep 25,24390,5470,8440,5530,,,4950,,0,5975
2 Sep 25,22091.73,3608.58,9127.43,5900,,,3455.72,,0,90
1 Sep 25,18991.43,3260,5247.14,3370,,,6964.29,,150,2301.5
31 Aug 25,36574.28,10164.27,16654.3,4910,,,4845.71,,0,2890
30 Aug 25,22748.58,5908.57,10447.15,2240,,,4152.86,,0,3147
29 Aug 25,40318.58,9630,11998.58,6990,,,11340,,360,3788
28 Aug 25,22983.29,4911.43,9518.57,3430,,,5123.29,,0,2013
27 Aug 25,22812.86,7660,3024.29,6990,,,5138.57,,0,12536
26 Aug 25,21195.57,6815.57,4220,5700,,,4460,,0,3557.5
25 Aug 25,28590,9357.14,9515.72,6050,,,3667.14,,0,17989.05
24 Aug 25,32142.44,9186.71,13630.01,2700,,,6625.72,,0,2175
23 Aug 25,30091.43,9041.43,11414.28,5180,,,4455.72,,0,4385
22 Aug 25,14121.42,2582.85,4845.71,660,,,6032.86,,0,7413.8
21 Aug 25,36025.72,11932.87,13265.71,6230,,,4597.14,,0,1118
20 Aug 25,22345.72,6751.43,6662.86,3980,,,4661.43,,290,3942.75
19 Aug 25,19320.01,6467.15,5821.43,3350,,,3681.43,,0,9198.9
18 Aug 25,12559.99,2564.28,5110,1750,,,3135.71,,0,425
17 Aug 25,45675.72,11747.14,14860,5120,,,13948.58,,0,4411.65
16 Aug 25,32394.28,6972.85,11761.43,6390,,,7270,,0,5713
15 Aug 25,36142.86,7845.72,10514.28,9590,,,8192.86,,0,1629
14 Aug 25,29391.29,6461.43,8417,7250,,,6432.86,,830,725
13 Aug 25,25127.15,9630.01,5967.14,4280,,,5060,,190,1635
12 Aug 25,20242.86,5555.72,5647.14,4590,,,4270,,180,8247
11 Aug 25,23244.29,7662.86,3021.43,9310,,,3250,,0,4550
10 Aug 25,37145.7,9434.28,17664.28,4640,,,5407.14,,0,3610
9 Aug 25,40757.63,15107.63,10805.71,8490,,,6354.29,,0,497
8 Aug 25,35151.43,8274.29,16784.28,3780,,,6312.86,,0,5889
7 Aug 25,26332.86,6425.71,6045.72,8360,,,5501.43,,0,10159
6 Aug 25,22101.43,5472.86,3650,8120,,,4708.57,,150,1094
5 Aug 25,23298.58,4884.29,5142.86,6150,,,6941.43,,180,416
