"Day","Total","No. of Transactions","No. of Items","Discounts on Items","Discounts on Subtotal","Cost","Expense","Profit","Card","Cash","GiftCard","Grab","MarketingPullOut","QRPh"
"31 Oct 2025","26350.14","75","113","187.5","366.28","0","579","25771.14","10414.28","3601.43","0","5700","0","6634.43"
"30 Oct 2025","29740.72","94","126","328.57","770.35","0","835","28905.72","9100.71","7724.29","770","5770","0","6375.72"
"29 Oct 2025","28174.28","76","122","616.07","160","0","4140.25","24034.03","6235.71","9984.28","1240","7520","0","3194.29"
"28 Oct 2025","32894.41","94","138","392.85","624.5","0","15318.7","17575.71","13681.42","5658.57","300","8140","0","5114.42"
"27 Oct 2025","21444.29","76","88","671.43","494.64","0","6037.5","15406.79","5266.43","3167.15","540","2700","0","9770.71"
"26 Oct 2025","37906.28","108","159","1124.06","0","0","3142","34764.28","13869.14","10172.28","0","6740","0","7124.86"
"25 Oct 2025","30504.29","95","127","668.73","116.07","0","1605","28899.29","9963.57","10993.57","0","5030","0","4517.15"
"24 Oct 2025","30319.29","101","129","432.13","573.92","0","460","29859.29","13171.43","6852.86","0","4810","0","5485"
"23 Oct 2025","26514.28","82","109","323.22","1512.85","0","4024.3","22489.98","9978.57","5720","0","5900","0","4915.71"
"22 Oct 2025","29640","93","123","224.99","0","0","14634","15006","10165.71","6964.29","480","6040","0","5990"
"21 Oct 2025","16329.28","56","70","278.57","0","7","8445","7877.28","5473.57","3695.71","0","2570","660","3930"
"20 Oct 2025","23275.42","75","93","469.57","89.28","0","10343","12932.42","8876.57","5198.57","150","5590","0","3460.28"
"19 Oct 2025","36928.72","99","144","788.42","0","0","3520","33408.72","19638.57","10076.15","0","4170","0","3044"
"18 Oct 2025","35283.57","102","151","1016.42","298.21","0","875","34408.57","15535.72","4691.43","0","5470","0","9586.42"
"17 Oct 2025","32162.15","105","134","285.71","216.06","0","1028","31134.15","10767.14","8062.86","0","5680","0","7652.15"
"16 Oct 2025","32101.15","93","128","91.07","106.71","0","10438.88","21662.27","8920","8015","720","7550","0","6896.15"
"15 Oct 2025","25927.85","80","105","380.35","42.86","0","17013","8914.85","7655.71","6049.28","0","6840","0","5382.86"
"14 Oct 2025","33614.58","96","139","473.64","0","0","645","32969.58","9240.29","8235","0","8350","0","7789.29"
"13 Oct 2025","27244.29","73","106","244.64","133.93","0","4321.28","22923.01","9650.71","5854.29","180","7380","0","4179.29"
"12 Oct 2025","35392.86","101","146","423.21","0","0","1549","33843.86","11512.86","11195.71","0","5270","0","7414.29"
"11 Oct 2025","43066.43","125","178","628.99","180.35","0","4905.75","38160.68","20057.14","10116.43","0","6540","0","6352.86"
"10 Oct 2025","27392.86","81","116","283.93","339.28","31.5","11815","15546.36","8755.72","7467.14","0","7410","0","3760"
"9 Oct 2025","28985.73","85","121","410.71","585.71","0","7007","21978.73","8675.72","4971.43","180","7420","0","7738.58"
"8 Oct 2025","38516.43","107","158","310.71","244.63","0","3839","34677.43","14077.14","7106.43","180","10480","0","6672.86"
"7 Oct 2025","24776.71","85","104","472.21","423.2","0","382","24394.71","8391.71","4737.14","320","7330","0","3997.86"
"6 Oct 2025","26968.86","79","111","711.77","162.92","31.5","22636.7","4300.66","8777.86","5578.57","360","7840","0","4412.43"
"5 Oct 2025","47062.84","138","203","1692.74","48.21","0","1095","45967.84","17691.13","11449.28","0","8350","0","9572.43"
"4 Oct 2025","45379.99","127","180","717.83","458.41","0","90","45289.99","20270.71","12047.14","0","5620","0","7442.14"
"3 Oct 2025","39155.71","111","156","548.2","248.21","0","1137","38018.71","14012.86","11842.85","0","6180","0","7120"
"2 Oct 2025","34958.56","112","145","558.9","1675.72","0","7041","27917.56","7198.57","5879.99","0","10280","0","11600"
"1 Oct 2025","24199.99","78","99","380.35","44.64","0","5610.95","18589.04","7417.14","4654.28","510","4320","0","7298.57"
