Date,Item,Supplier,Amount,Paid Via,Category,Purchasee,Full Amount,TIN,Invoice No.,Address
"September 23, 2025","Whipping cream, mascarpone","Kmakati Mart",4275.00,Non-Cash,Supplies,Store,,,,
"September 23, 2025","Warabimochi","Lalamove",178.00,Cash,Delivery,Store,,,,
"September 22, 2025","Delivery","Lalamove",150.00,Cash,Supplies,Store,,,,
"September 22, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"September 22, 2025","Grocery","Supermarket",1023.00,Cash,Supplies,Store,,,,
"September 21, 2025","Whipped cream and white sugar","S&R",2718.45,Non-Cash,Supplies,Store,,,,
"September 21, 2025","Coconut water 1L","Fruitas",170.00,Cash,Supplies,Store,,,,
"September 21, 2025","Warabi mochi","Lalamove",150.00,Cash,Delivery,Store,,,,
"September 21, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"September 20, 2025","Paperbag small","TX Concept Group Inc.",440.00,Non-Cash,Supplies,Store,,,,
"September 20, 2025","Ice","Ivoryway",135.00,Cash,Supplies,Store,,,,
"September 19, 2025","Cookies","Lalamove",120.00,Cash,Delivery,Store,,,,
"September 19, 2025","Grab food error","Lalamove",83.00,Cash,Delivery,Store,,,,
"September 19, 2025","Banana","Food Alley",99.00,Cash,Supplies,Store,,,,
"September 19, 2025","Whipped cream, white sugar, trash bags","S&R",3702.30,Non-Cash,Supplies,Store,,,,
"September 19, 2025","Ice","Ivoryway",180.00,Cash,Supplies,Store,,,,
"September 19, 2025","Everwhip, Egg medium","SM",572.75,Cash,Supplies,Store,,,,
"September 19, 2025","Dairy oat","Bakers choice",6470.00,Non-Cash,Supplies,Store,,,,
"September 19, 2025","Coconut water 1L","Fruitas",170.00,Cash,Supplies,Store,,,,
"September 19, 2025","Cups and lids","Lalamove",150.00,Cash,Delivery,Store,,,,
"September 19, 2025","Dairy and oatmilk","Lalamove",411.00,Cash,Delivery,Store,,,,
"September 18, 2025","Mascarpone","Kmakati Mart",4725.00,Non-Cash,Supplies,Store,,,,
"September 18, 2025","2L coffee beans","Plain Sight",3136.00,Non-Cash,Supplies,Store,,,,
"September 18, 2025","Ice cream","Lalamove",148.00,Cash,Delivery,Store,,,,
"September 18, 2025","Warabimochi","Lalamove",135.00,Cash,Delivery,Store,,,,
"September 17, 2025","White chocolate sauce","Bakers choice",890.00,Non-Cash,Supplies,Store,,,,
"September 17, 2025","Coconut Water","Fruitas",85.00,Cash,Supplies,Store,,,,
"September 17, 2025","Banana","Food Alley",190.00,Cash,Supplies,Store,,,,
"September 17, 2025","White chocolate sauce","Lalamove",200.00,Cash,Delivery,Store,,,,
"September 17, 2025","Cups and lids","Lalamove",155.00,Cash,Delivery,Store,,,,
"September 17, 2025","Ice","Ivoryway",335.00,Cash,Supplies,Store,,,,
"September 17, 2025","Coffee Straw 6mm, Cupholder 2's","Haig and Lee Import Export Corp.",1626.00,Non-Cash,Supplies,Store,,,,
"September 16, 2025","Ice","Unknown",112.00,Cash,Supplies,Store,,,,
"September 16, 2025","Warabi","Lalamove",176.00,Cash,Supplies,Store,,,,
"September 15, 2025","Dairy milk","Bakers choice",4710.00,Non-Cash,Supplies,Store,,,,
"September 15, 2025","Cookies","Lalamove",150.00,Cash,Delivery,Store,,,,
"September 15, 2025","Ice","Ivoryway",337.50,Cash,Supplies,Store,,,,
"September 15, 2025","Oat and dairy","Lalamove",411.00,Cash,Delivery,Store,,,,
"September 14, 2025","Whipped Cream, White Sugar","S&R",3117.45,Non-Cash,Supplies,Store,,,,
"September 14, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"September 14, 2025","Warabimochi","Lalamove",190.00,Cash,Delivery,Store,,,,
"September 14, 2025","Coconut Water","Fruitas",170.00,Cash,Supplies,Store,,,,
"September 13, 2025","Ice","Unknown",112.50,Cash,Supplies,Store,,,,
"September 13, 2025","Tape","National Bookstore",180.00,Cash,Supplies,Store,,,,
"September 12, 2025","Dairy and oatmilk","Bakers choice",6450.00,Non-Cash,Supplies,Store,,,,
"September 12, 2025","16oz cups and lids","Irish Luck Inc",4317.60,Non-Cash,Supplies,Store,,,,
"September 12, 2025","Banana","Food Alley",110.00,Cash,Supplies,Store,,,,
"September 12, 2025","Coffee Beans","Plain Sight",3136.00,Non-Cash,Supplies,Store,,,,
"September 12, 2025","Online store items","AC Packaging",360.00,Non-Cash,Supplies,Store,,,,
"September 12, 2025","Straw 6mm, 12mm","AC Packaging",1160.00,Non-Cash,Supplies,Store,,,,
"September 12, 2025","Cookies","Lalamove",150.00,Cash,Delivery,Store,,,,
"September 12, 2025","Ice","R&BTube Ice",180.00,Cash,Supplies,Store,,,,
"September 12, 2025","Dairymilk oat","Lalamove",620.00,Cash,Delivery,Store,,,,
"September 12, 2025","12oz cups","Lalamove",368.00,Cash,Delivery,Store,,,,
"September 12, 2025","Paper bag & Straws","Lalamove",140.00,Cash,Delivery,Store,,,,
"September 11, 2025","Medicine kit","Watsons",216.50,Cash,Supplies,Store,,,,
"September 11, 2025","Coconut water","Fruitas",170.00,Cash,Supplies,Store,,,,
"September 11, 2025","Egg, White sugar","SM Supermarket",828.25,Cash,Supplies,Store,,,,
"September 11, 2025","Warabi mochi","Lalamove",176.00,Cash,Delivery,Store,,,,
"September 11, 2025","Whipping Cream 6L","S&R",2765.70,Non-Cash,Supplies,Store,,,,
"September 10, 2025","Banana","Unknown",110.00,Cash,Supplies,Store,,,,
"September 10, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"September 10, 2025","Gloves","Watsons",203.00,Cash,Supplies,Store,,,,
"September 9, 2025","Oatmilk, earlgrey","Allegro Beverage Corporation",4150.00,Non-Cash,Supplies,Store,,,,
"September 9, 2025","Ice","Ivoryway",112.50,Cash,Supplies,Store,,,,
"September 9, 2025","Warabimochi","Lalamove",180.00,Cash,Delivery,Store,,,,
"September 9, 2025","Oatmilk, earlgrey","Lalamove",300.00,Cash,Delivery,Store,,,,
"September 8, 2025","Dairy milk","Lalamove",329.00,Cash,Delivery,Store,,,,
"September 8, 2025","Cookies","Lalamove",150.00,Cash,Delivery,Store,,,,
"September 8, 2025","Mascarpone","Builtamart",1140.00,Non-Cash,Supplies,Store,,,,
"September 8, 2025","Whipped cream, white sugar","S&R",3179.40,Non-Cash,Supplies,Store,,,,
"September 8, 2025","Ice","Ivoryway",337.50,Cash,Supplies,Store,,,,
"September 8, 2025","Dairy 10L","The Marketplace",1215.00,Non-Cash,Supplies,Store,,,,
"September 8, 2025","Dairy 5 boxes","Laciate",4800.00,Non-Cash,Supplies,Store,,,,
"September 7, 2025","Warabi","Lalamove",176.00,Cash,Delivery,Store,,,,
"September 7, 2025","Ice","R&BTube Ice",135.00,Cash,Supplies,Store,,,,
"September 7, 2025","Coconut Water 1000mL","Fruitas",160.00,Cash,Supplies,Store,,,,
"September 6, 2025","Ice cream tubs","Lalamove",312.00,Cash,Delivery,Store,,,,
"September 6, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"September 6, 2025","Whipped cream","Grab",100.00,Cash,Delivery,Store,,,,
"September 6, 2025","Whipped cream","S&R",2765.70,Non-Cash,Supplies,Store,,,,
"September 5, 2025","Customer change","Unknown",150.00,Cash,Supplies,Store,,,,
"September 5, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"September 5, 2025","Kamote","Unknown",93.00,Cash,Supplies,Store,,,,
"September 5, 2025","Cookies","Lalamove",150.00,Cash,Delivery,Store,,,,
"September 5, 2025","16oz lids","Lalamove",666.00,Cash,Delivery,Store,,,,
"September 5, 2025","Oatside (5box) Nobo(3L)","Lalamove",296.00,Cash,Delivery,Store,,,,
"September 4, 2025","Strawberry syrup","Lalamove",104.00,Cash,Delivery,Store,,,,
"September 4, 2025","Trash bags, warabi sauce container, medium eggs","SM",951.50,Cash,Supplies,Store,,,,
"September 4, 2025","Scotch Tape, pen marker, battery","National Bookstore",494.00,Cash,Supplies,Store,,,,
"September 4, 2025","Whipped cream","S&R",2765.70,Non-Cash,Supplies,Store,,,,
"September 4, 2025","White choco sauce, everwhip, bunge","Bakers choice",1280.00,Non-Cash,Supplies,Store,,,,
"September 4, 2025","Salted caramel, dairymilk","Bakers choice",5240.00,Non-Cash,Supplies,Store,,,,
"September 4, 2025","White Choco, Bunge, Everwhip","Lalamove",203.00,Cash,Supplies,Store,,,,
"September 4, 2025","Warabi Mochi","Lalamove",171.00,Cash,Supplies,Store,,,,
"September 3, 2025","Coffee beans","Plain Sight",3136.00,Non-Cash,Supplies,Store,,,,
"September 3, 2025","Delivery","Grab Mart",2274.00,Non-Cash,Supplies,Store,,,,
"September 3, 2025","Tip","Lalamove",130.00,Cash,Delivery,Store,,,,
"September 3, 2025","Coconut Water 1500ml","Fruitas",255.00,Cash,Supplies,Store,,,,
"September 3, 2025","Ice bags","R&BTube Ice",180.00,Cash,Supplies,Store,,,,
"September 2, 2025","Ice","Ivoryway",90.00,Cash,Supplies,Store,,,,
"September 1, 2025","Arla whipping cream (4)","SM Supermarket",1964.00,Cash,Supplies,Store,,,,
"September 1, 2025","Ice","Ivoryway",337.50,Cash,Supplies,Store,,,,
"August 31, 2025","Dairy, whipped cream, dalandan concentrate, condensed milk","Robinson's Supermarket Corporation",2495.00,Non-Cash,Supplies,Store,,,,
"August 31, 2025","Ice","Ivoryway",225.00,Cash,Supplies,Store,,,,
"August 31, 2025","Coconut water","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 30, 2025","Grocery","Supermarket",2752.00,Cash,Supplies,Store,,,,
"August 30, 2025","Delivery Tip","Grab",100.00,Cash,Delivery,Store,,,,
"August 30, 2025","Ice","R&BTube Ice",295.00,Cash,Supplies,Store,,,,
"August 29, 2025","Supplies","AAB Baking Goods and Supplies Inc.",340.00,Non-Cash,Supplies,Store,,,,
"August 29, 2025","Whipping Cream","AAB Baking Goods and Supplies Inc.",2673.00,Non-Cash,Supplies,Store,,,,
"August 29, 2025","Ice","R&BTube Ice",225.00,Cash,Supplies,Store,,,,
"August 29, 2025","Delivery","Lalamove",240.00,Cash,Supplies,Store,,,,
"August 29, 2025","Delivery","Lalamove",140.00,Cash,Supplies,Store,,,,
"August 29, 2025","Banana 1kg","Unknown",170.00,Cash,Supplies,Store,,,,
"August 28, 2025","Delivery","Grab Mart",1843.00,Non-Cash,Supplies,Store,,,,
"August 28, 2025","Coconut Water 500ml x2","Fruitas",170.00,Cash,Supplies,Store,,,,
"August 27, 2025","Ice","Ivoryway",270.00,Cash,Supplies,Store,,,,
"August 27, 2025","Paperbag L, 4's cupholder","AC Packaging",956.00,Non-Cash,Supplies,Store,,,,
"August 27, 2025","Oatmilk 30L","Allegro Beverage Corporation",6600.00,Non-Cash,Supplies,Store,,,,
"August 27, 2025","Dairymilk 60L everwhip","M.D.R Consumer Goods Trading",4710.00,Non-Cash,Supplies,Store,,,,
"August 26, 2025","Wooden spoon straw 6mm","Haig and Lee Import Export Corp.",3274.00,Non-Cash,Supplies,Store,,,,
"August 26, 2025","Ice","Ivoryway",112.50,Cash,Supplies,Store,,,,
"August 26, 2025","Warabi mochi","Lalamove",171.00,Cash,Delivery,Store,,,,
"August 25, 2025","12oz lids, cups, dome lids and 16oz lids, cups, dome lids","Irish Luck Inc",6361.60,Non-Cash,Supplies,Store,,,,
"August 25, 2025","Anchor whipped cream","AAB Baking Goods and Supplies Inc.",723.00,Non-Cash,Supplies,Store,,,,
